,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
171,Mercedes-Benz,GLK-Class,2014,Red,26500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Other,5,,"No faults, Original parts",SUV,,
172,Lexus,GX,2015,Black,50000000.0,Lagos,460 Base,4x4,4600cc,8,301hp,Black,7,No,No faults,SUV,No,
173,Lexus,GX,2009,Black,18500000.0,Lagos,470,All Wheel,4700cc,8,267hp,Black,7,No,"Unpainted, No faults",SUV,No,
174,Toyota,Highlander,2014,Gray,27500000.0,Lagos,XLE 4dr SUV (3.5L 6cyl 6A),Front Wheel,3500cc,6,270hp,Gray,7-8,No,No faults,SUV,,
175,Land Rover,Range Rover Sport,2014,Black,34000000.0,Lagos,HSE 4x4 (3.0L 6cyl 8A),All Wheel,3000cc,6,340hp,White,5,No,No faults,SUV,Yes,
176,Lexus,RX,2017,Black,51000000.0,Lagos,,,,,,Brown,,No,,,No,
177,Mercedes-Benz,GLK-Class,2015,Black,23500000.0,Lagos,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,,5,No,"Original parts, Unpainted, No faults",SUV,No,
178,Mercedes-Benz,M Class,2013,White,30000000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,302hp,Beige,5,No,No faults,SUV,Yes,
179,Toyota,Camry,2008,Silver,10000000.0,Enugu,LE 4dr Sedan (2.4L 4cyl 5A),Front,2400cc,4,158hp,Gray,5,No,,Sedan,,
180,Mercedes-Benz,GLK-Class,2012,White,17000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,,SUV,No,
181,Honda,Accord,2013,White,10500000.0,Abuja,,,,,,Other,,Yes,,,,
182,Mercedes-Benz,GLB-Class,2021,Black,83000000.0,Lagos,AMG GLB 35 4MATIC,All Wheel,2000cc,4,302hp,Black,5,No,No faults,SUV,Yes,
183,Land Rover,Range Rover Sport,2014,Black,35000000.0,Lagos,Autobiography 4x4 (5.0L 8cyl 8A),All Wheel,5000cc,8,510hp,,5,,No faults,SUV,,
184,Mercedes-Benz,M Class,2014,Black,25000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Black,5,No,"No faults, Unpainted",SUV,,
185,Mercedes-Benz,GLK-Class,2014,White,24500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,No,
186,Lexus,ES,2011,Silver,14000000.0,Lagos,350,,,,,Brown,,No,,,,
187,Lexus,RX,2014,Brown,26000000.0,Lagos,350 FWD,Front Wheel,3500cc,6,270hp,,5,,No faults,SUV,,
188,Toyota,RAV4,2007,Silver,9000000.0,Abuja,,,,,,Other,,Yes,,,,
189,Mercedes-Benz,GLC-Class,2017,White,59999999.0,Lagos,,,,,,Black,,No,,,No,
190,Mercedes-Benz,GLE-Class,2018,Black,36999999.0,Lagos,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Black,5,,No faults,SUV,,
191,Mercedes-Benz,GLK-Class,2012,Black,15350000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,"Unpainted, No faults",SUV,No,
192,Mercedes-Benz,GLC-Class,2018,Black,38000000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted, Original parts",,,
193,Lexus,ES,2014,Red,26500000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,Black,5,No,No faults,Sedan,No,
194,Lexus,RX,2017,Gray,57000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,,
195,Mercedes-Benz,GLC-Class,2018,Black,44000000.0,Lagos,,,,,,Gray,,No,"No faults, Original parts",,,
196,Lexus,RX,2013,White,24500000.0,Lagos,350 F SPORT AWD,All Wheel,3500cc,6,270hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,,
197,Mercedes-Benz,GLK-Class,2010,Gray,12900000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,,SUV,,
198,Lexus,ES,2008,Gold,14700000.0,Lagos,350,,,,,Other,,No,No faults,,,
199,Lexus,RX,2011,Gray,21000000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted",,,
200,Lexus,RX,2015,Black,28500000.0,Lagos,,,,,,Red,,,"No faults, Unpainted, Original parts",,,
201,Mercedes-Benz,GLK-Class,2012,Black,15000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Beige,5,No,"No faults, Unpainted, Original parts",SUV,,
202,Lexus,GX,2011,Gray,33500000.0,Lagos,460,All Wheel,4600cc,8,305hp,Gray,7,No,No faults,SUV,,
203,Mercedes-Benz,GLK-Class,2013,Black,23000000.0,Abuja,,,,,,Black,,No,,,,
204,Land Rover,Range Rover Sport,2014,Gold,58500000.0,Lagos,Autobiography 4x4 (5.0L 8cyl 8A),All Wheel,5000cc,8,510hp,Black,5,,No faults,SUV,,SALWV2EF4EA******
205,Rover,220,2016,Black,28000000.0,Lagos,,,,,,,,Yes,No faults,,,
206,Mercedes-Benz,GLK-Class,2012,Black,16350000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Black,5,No,,SUV,,
207,Lexus,RX,2017,White,47000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,No,"Original parts, Unpainted, No faults",SUV,No,
