,Make,Model,Year of Manufacture,Color,Price,Location,Trim,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Interior Color,Seats,Registered Car,Second Condition,Body,Exchange Possible,VIN Chassis number
465,Mercedes-Benz,GLK-Class,2011,White,14550000.0,Lagos,,,,,,Beige,,No,Unpainted,,,
466,Lexus,RX,2013,Black,25500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,Yes,
467,Mercedes-Benz,GLA 250,2015,Black,30000000.0,Lagos,,,,,,Black,,No,No faults,,,
468,Toyota,4-Runner,2008,Silver,13550000.0,Lagos,Sport Edition,All Wheel,4000cc,6,260hp,,5,No,"No faults, Unpainted, Original parts",SUV,,
469,Toyota,C-HR,2020,White,32000000.0,Abuja,,,,,,,,,,,,
470,Lexus,GX,2021,Black,93500000.0,Lagos,460,All Wheel,4700cc,8,296hp,Black,5,No,No faults,SUV,No,
471,Toyota,Hilux,2022,White,53000000.0,Lagos,Revo Smart Cab Petrol 2.7 RWD,,,,,Black,,No,No faults,,,
472,Mercedes-Benz,M Class,2015,Black,34000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,"No faults, Unpainted, Original parts",SUV,,
473,Lexus,GX,2008,Black,21000000.0,Lagos,470,All Wheel,4700cc,8,267hp,Brown,7,No,No faults,SUV,,
474,Mercedes-Benz,M Class,2013,Matt Black,28000000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,302hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,,
475,Mercedes-Benz,GLK-Class,2015,Brown,22500000.0,Lagos,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,"Unpainted, No faults",SUV,No,
476,Mercedes-Benz,M Class,2014,Brown,28000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Gray,5,No,No faults,SUV,,
477,Hyundai,Sonata,2015,Blue,15500000.0,Abuja,,,,,,Other,,,No faults,,,
478,Toyota,Highlander,2015,White,32500000.0,Lagos,,,,,,Beige,,No,,,,
479,Mercedes-Benz,GLE-Class,2022,Gold,99000000.0,Lagos,GLE 350,Rear Wheel,2000cc,4,255hp,Beige,5,No,,SUV,No,
480,Lexus,GX,2007,Green,14550000.0,Lagos,470 Sport Utility,All Wheel,4700cc,8,267hp,,7,No,"No faults, Unpainted, Original parts",SUV,,
481,Lexus,ES,2012,Red,14357000.0,Lagos,350,Front,,6,,Other,5,No,"No faults, Original parts",Sedan,Yes,
482,Lexus,ES,2008,Silver,12000000.0,Lagos,350,Front,,6,,Other,5,No,"No faults, Original parts",Sedan,,
483,Lexus,GX,2009,Black,20500000.0,Lagos,470,All Wheel,4700cc,8,267hp,,7,No,No faults,SUV,,
484,Mercedes-Benz,M Class,2013,Gold,28500000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,302hp,Other,5,No,No faults,SUV,,
485,Hyundai,Sonata,2016,Black,16350000.0,Abuja,Limited Sedan FWD (2.4L 4cyl 6A),Front Wheel,2400cc,4,,Other,,No,No faults,Sedan,Yes,
486,Mercedes-Benz,GLE-Class,2017,White,37000000.0,Lagos,,,,,,Other,,No,No faults,,,
487,Toyota,Camry,2012,Gray,14200000.0,Lagos,XLE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,Black,5,No,No faults,Sedan,,
488,Lexus,LX,2014,Black,50000000.0,Lagos,570 AWD,All Wheel,5700cc,8,370hp,Other,8,,"No faults, Unpainted",SUV,,
489,Lexus,GX,2016,Black,50000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Other,7,No,"Unpainted, No faults",SUV,No,
490,Lexus,RX 350,2017,Black,46000000.0,Lagos,,,,,,Other,,No,No faults,,No,
491,Mercedes-Benz,GLC-Class,2018,Black,40000000.0,Lagos,,,,,,Brown,,No,"Unpainted, No faults",,,
492,Mercedes-Benz,SC-Class,2011,Black,9500000.0,Abuja,,,,,,Black,,Yes,No faults,,Yes,
493,Toyota,Avensis Verso,2004,Silver,9500000.0,Lagos,2.0 Petrol,Front Wheel,2000cc,4,150hp,Violet,7,,,Minivan,,
494,Toyota,Highlander,2021,White,67500000.0,Lagos,L,Front Wheel,3500cc,6,295hp,,8,No,,SUV,,
495,Toyota,Highlander,2013,Black,21500000.0,Lagos,Limited 3.5L 2WD,Front Wheel,3500cc,6,270hp,Other,5,,,SUV,,
496,Lexus,RX,2013,Silver,21150000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Brown,5,No,Unpainted,SUV,,
497,Lexus,GX,2015,Gray,53500000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,,
498,Lexus,RX,2017,Gray,43000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,No,No faults,SUV,,
499,Peugeot,406,2004,Blue,2600000.0,Abuja,,,,,,Other,,Yes,No faults,,No,
500,Toyota,Venza,2015,Black,16700000.0,Lagos,,,,,,Black,,Yes,,,Yes,
501,Toyota,Highlander,2016,Beige,30000000.0,Lagos,XLE V6 4x2 (3.5L 6cyl 6A),Front Wheel,3500cc,6,270hp,Brown,7,No,No faults,SUV,Yes,
502,Toyota,Highlander,2016,Gray,30000000.0,Lagos,Limited Platinum V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Gray,7,No,No faults,SUV,,
503,Toyota,Highlander,2018,Blue,43500000.0,Lagos,XLE 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Other,7-8,,"No faults, Original parts",SUV,,
504,Toyota,Highlander,2015,Gray,33000000.0,Lagos,Limited 4dr SUV AWD (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Black,7,No,No faults,SUV,,
505,Lexus,RX,2015,Silver,28700000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Other,5,,"Unpainted, No faults, Original parts",SUV,,
506,Toyota,Highlander,2016,Gray,26550000.0,Lagos,Limited Platinum V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,,7,No,"No faults, Unpainted, Original parts",SUV,,
507,Toyota,Highlander,2015,White,28900000.0,Lagos,,,,,,Black,,No,No faults,,,
508,Mitsubishi,Pajero,2016,Black,19800000.0,Lagos,,,,,,Black,,No,No faults,,,
509,Honda,Accord,2014,Burgundy,14700000.0,Lagos,EX-L 4dr Sedan w/Navigation (2.4L 4cyl CVT),Front Wheel,2400cc,4,185hp,Other,5,No,,Sedan,,
510,Lexus,GX,2012,Other,32000000.0,Lagos,460,All Wheel,4600cc,,305hp,Other,7,,No faults,SUV,,
511,Toyota,Tacoma,2018,Gray,38000000.0,Lagos,Limited,,3500cc,6,278hp,,5,,"No faults, Unpainted, Original parts",Pickup,,
512,Toyota,Tacoma,2015,White,24500000.0,Lagos,TRD PRO V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),All Wheel,4000cc,6,236hp,Gray,,No,"Original parts, Unpainted, No faults",Pickup,No,
513,Lexus,RX,2015,Black,28980000.0,Lagos,,,,,,,,No,Unpainted,,,
514,Lexus,RX,2018,Gray,41000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,No,No faults,SUV,,
515,Toyota,Corolla,2014,Red,14900000.0,Lagos,S 4dr Sedan (1.8L 4cyl CVT),Front,1800cc,4,132hp,Black,,No,No faults,Sedan,Yes,
516,Toyota,Camry,2008,Black,10700000.0,Lagos,2.4 SE Automatic,Front,,,158hp,Gray,5,No,No faults,,,
517,Toyota,Highlander,2016,Black,28500000.0,Lagos,XLE V6 4x2 (3.5L 6cyl 6A),Front Wheel,3500cc,6,270hp,Black,7,No,"Unpainted, No faults",SUV,Yes,
518,Lexus,GX,2016,Black,62000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,,"No faults, Unpainted, Original parts",SUV,,
519,Mercedes-Benz,GLA 250,2016,Black,39000000.0,Lagos,,,,,,Black,,No,No faults,,,
520,Lexus,LX,2019,Gray,137000000.0,Lagos,570 AWD,All Wheel,5700cc,8,370hp,,8,No,"No faults, Unpainted, Original parts",SUV,No,
521,Mercedes-Benz,M Class,2010,Gray,12500000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,268hp,Beige,5,No,Unpainted,SUV,,
522,Toyota,Highlander,2015,Black,33500000.0,Lagos,Limited 4dr SUV AWD (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Gray,7,No,No faults,SUV,,
523,Toyota,Corolla,2010,Black,12000000.0,Lagos,LE 4dr Sedan (1.8L 4cyl 4A),Front,1800cc,4,132hp,Gray,5,No,No faults,Sedan,,
524,Mercedes-Benz,GLC-Class,2016,Gray,34500000.0,Lagos,,,,,,Black,,Yes,,,,
525,Mercedes-Benz,GLA 250,2015,Red,30000000.0,Lagos,,,,,,Brown,,Yes,,,No,
526,Mercedes-Benz,GLC-Class,2016,Black,40000000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,,4,,Black,,No,"Original parts, Unpainted, No faults",,,
527,Mercedes-Benz,M Class,2013,Black,28700000.0,Lagos,ML 550 4Matic,All Wheel,4700cc,8,402hp,,5,No,"Original parts, Unpainted, No faults",SUV,Yes,
528,Lexus,RX,2013,Silver,26500000.0,Lagos,350 FWD,All Wheel,3500cc,6,270hp,Gray,5,No,No faults,SUV,,
529,Toyota,Highlander,2019,Brown,38500000.0,Lagos,Limited,,,,295hp,Brown,,No,No faults,,,
530,Lexus,RX 350,2012,Black,27000000.0,Abuja,,,,,,Other,,No,,,,
531,Toyota,Camry,2013,Black,12540000.0,Rivers,SE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,Other,5,Yes,"First owner, No faults",Sedan,Yes,
532,Toyota,Camry,2008,Silver,6700000.0,Lagos,2.4 XLE,Front,,,158hp,White,5,Yes,"No faults, Unpainted, Original parts",,,
533,Lexus,RX,2017,Black,48600000.0,Lagos,350 F Sport AWD,All Wheel,3500cc,6,295hp,,5,No,No faults,SUV,,
534,Mercedes-Benz,C300,2014,Black,14000000.0,Lagos,Sport 4Matic Sedan AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,248hp,Other,5,No,"Unpainted, No faults",Sedan,No,
535,Lexus,RX,2017,Silver,50000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Black,5,No,No faults,SUV,,
536,Lexus,ES,2009,Gray,11500000.0,Lagos,350,Front,,6,,Black,5,,No faults,Sedan,,
537,Toyota,Highlander,2011,Red,18000000.0,Lagos,Limited,Front Wheel,3500cc,6,274hp,Purple,7,No,"No faults, Unpainted, Original parts",SUV,No,
538,Mercedes-Benz,GLC-Class,2017,Brown,38900000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Other,,No,No faults,,Yes,
539,Mercedes-Benz,M Class,2015,Black,33000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Brown,5,No,No faults,SUV,,
540,Lexus,ES,2008,Gray,12420000.0,Lagos,350,Front,,6,,,5,,,Sedan,,
541,Mercedes-Benz,M Class,2013,White,26500000.0,Lagos,,,,,,,,No,No faults,,Yes,
542,Mercedes-Benz,M Class,2012,Brown,26500000.0,Lagos,ML 350 BlueTEC 4Matic,All Wheel,3000cc,6,240hp,Other,5,,"No faults, Unpainted",SUV,,
543,Mercedes-Benz,GLC-Class,2018,White,48500000.0,Lagos,,,,,,Black,,No,"Original parts, Unpainted, No faults",,,
544,Mercedes-Benz,GLK-Class,2013,White,22000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,,5,No,"No faults, Unpainted, Original parts",SUV,,
545,Toyota,Highlander,2009,Silver,15000000.0,Lagos,,,,,,Other,,No,,,,
546,Mercedes-Benz,CLA-Class,2023,Black,105000000.0,Abuja,CLA 250 4MATIC Sedan,Front Wheel,2000cc,4,221hp,,5,,,Sedan,,
547,Mercedes-Benz,M Class,2014,Blue,31000000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,,5,No,,SUV,,
548,Lexus,ES,2012,Brown,14500000.0,Lagos,350,Front,,6,,Beige,5,No,"Original parts, Unpainted, No faults",Sedan,No,
549,Mercedes-Benz,GLC-Class,2016,Black,39500000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Beige,,No,"Unpainted, No faults",,No,
550,Lexus,RX,2012,Black,21550000.0,Lagos,350 AWD,,,,,,,No,"No faults, Unpainted, Original parts",SUV,,
551,Toyota,Highlander,2021,Black,55000000.0,Lagos,,,,,,Black,,No,No faults,,Yes,
552,Toyota,4-Runner,2014,Gray,40000000.0,Lagos,,,,,,Black,,No,,,No,
553,Lexus,GX,2015,White,59000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Violet,7,No,"No faults, Unpainted, Original parts",SUV,No,
554,Lexus,GX,2017,Black,54000000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Beige,7,No,No faults,SUV,,
555,Toyota,Highlander,2017,Black,35500000.0,Lagos,XLE 4x2 V6 (3.5L 6cyl 8A),Front Wheel,3500cc,6,295hp,Black,7-8,,"Original parts, Unpainted",SUV,,
556,Toyota,Camry,2016,Black,20000000.0,Lagos,,,,,,,,No,,,,
557,Mercedes-Benz,GLK-Class,2014,Red,23500000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,Other,5,,"No faults, Original parts",SUV,,
558,Lexus,RX 350,2011,Blue,21500000.0,Lagos,,,,,,Gray,,No,No faults,,,
559,Mercedes-Benz,GLC-Class,2018,White,49000000.0,Lagos,,,,,,Black,,,No faults,,,
560,Lexus,RX,2019,Black,45000000.0,Lagos,350L AWD,All Wheel,3500cc,6,295hp,Black,5,No,No faults,SUV,,
561,Toyota,Camry,2018,White,42000000.0,Abuja,,,,,,Other,,No,,,,
562,Lexus,ES,2015,Blue,27000000.0,Abuja,,,,,,Beige,,No,,,No,
563,Mercedes-Benz,C300,2017,White,23700000.0,Lagos,,,,,,Other,,No,No faults,,No,
564,Lexus,RX 350,2015,Gold,27500000.0,Lagos,,,,,,Brown,,No,No faults,,,
565,Mercedes-Benz,M Class,2014,White,36800000.0,Lagos,ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Other,5,No,No faults,SUV,,
566,Lexus,RX,2012,Silver,22000000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted",,,
567,Lexus,GX,2014,Gray,47000000.0,Lagos,,,,,,,,Yes,No faults,,,
568,Lexus,RX 350,2014,White,24500000.0,Lagos,,,,,,Brown,,No,,,,
569,Lexus,RX 350,2023,Red,145000000.0,Abuja,,,,,,,,,,,,
570,Toyota,Sienna,2012,Gold,12999999.0,Lagos,XLE 7 Passenger Mobility,Front Wheel,3500cc,6,270hp,Other,7,No,No faults,Minivan,No,
571,Toyota,Highlander,2010,Black,11500000.0,Anambra,,,,,,Black,,Yes,"Original parts, First owner, First registration",,Yes,
572,Lexus,RX 350,2015,Red,35000000.0,Lagos,,,,,,Orange,,No,No faults,,,
573,Lexus,RX,2018,Blue,41200000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Black,5,No,"Original parts, Unpainted, No faults",SUV,No,
574,Toyota,Tundra,2022,Silver,80000000.0,Lagos,Limited,Rear Wheel,3500cc,6,389hp,Black,5,,"No faults, Unpainted, Original parts",Pickup,,
575,Toyota,Highlander,2018,Gray,38000000.0,Lagos,Limited 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,,7-8,No,"No faults, Unpainted, Original parts",SUV,No,
576,Toyota,Highlander,2016,Black,28000000.0,Lagos,Limited V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Black,7,No,No faults,SUV,,
577,Honda,Accord,2014,White,15500000.0,Abuja,EX-L 4dr Sedan w/Navigation (2.4L 4cyl CVT),Front Wheel,2400cc,4,185hp,Other,5,No,No faults,Sedan,Yes,
578,Mercedes-Benz,C400,2016,Silver,33000000.0,Lagos,,,,,,Black,,No,,,No,
579,Lexus,ES,2008,Blue,7800000.0,Lagos,,,,,,Brown,,Yes,No faults,,,JTHBJ46G882******
580,Lexus,ES,2013,Red,21000000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,Beige,5,No,"Original parts, No faults",Sedan,Yes,
581,Lexus,ES,2009,Black,12500000.0,Lagos,350,Front,,6,,Black,5,No,"No faults, Unpainted, Original parts",Sedan,,
582,Lexus,GX,2007,Silver,13500000.0,Lagos,,,,,,,,No,No faults,,,
583,Toyota,Highlander,2016,Gray,30000000.0,Lagos,XLE V6 4x4 (3.5L 6cyl 6A),All Wheel,3500cc,6,270hp,Beige,7,No,,SUV,Yes,
584,Mercedes-Benz,GLE-Class,2017,White,40500000.0,Abuja,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Black,5,,No faults,SUV,,
585,Mercedes-Benz,M Class,2013,Gray,26800000.0,Lagos,ML 350 4Matic,All Wheel,3500cc,6,302hp,Black,5,No,"No faults, Unpainted, Original parts",SUV,Yes,
586,Honda,Accord,2010,Black,6000000.0,Abuja,Sedan EX,Front Wheel,2400cc,4,190hp,Black,5,Yes,No faults,Sedan,,
587,Lexus,ES,2007,Silver,13000000.0,Enugu,350,,,,,Gray,,No,,,No,
588,Mercedes-Benz,GLK-Class,2012,Green,16000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,,5,No,"No faults, Unpainted, Original parts",SUV,No,
589,Lexus,ES,2014,Gray,29000000.0,Lagos,,,,,,Black,,Yes,,,,
590,Toyota,Highlander,2013,Gray,21700000.0,Lagos,Limited 3.5l 4WD,All Wheel,3500cc,6,270hp,,5,No,"Original parts, Unpainted, No faults",SUV,,
591,Toyota,Tundra,2016,Brown,37500000.0,Lagos,1794 5.7L V8 w/FFV 4x4 CrewMax 5.6 ft. box 145.7 in. WB,4x4,5700cc,8,381hp,Beige,5,,,Pickup,,
592,Mercedes-Benz,GLB-Class,2022,Black,129999999.0,Abuja,AMG GLB 35 4MATIC,All Wheel,2000cc,4,302hp,,5,,,SUV,,
593,Toyota,Highlander,2014,Silver,29500000.0,Lagos,,,,,,Other,,No,No faults,,,
594,Toyota,Highlander,2018,Blue,48000000.0,Lagos,Limited Platinum 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Other,7-8,No,No faults,SUV,,
595,Toyota,Tundra,2021,Silver,72000000.0,Lagos,SR5,Rear Wheel,5700cc,8,381hp,Gray,5,No,No faults,Pickup,No,
596,Mercedes-Benz,GLK-Class,2010,White,15000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Gray,5,No,"Original parts, Unpainted, No faults",SUV,Yes,
597,Lexus,RX,2015,Red,26500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Gray,5,No,No faults,SUV,,
598,Lexus,RX,2015,Brown,28500000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,No,
599,Toyota,Sienna,2016,Gray,22900000.0,Lagos,XLE Premium 8 Passenger (3.5L 6cyl 6A),Front Wheel,3500cc,6,266hp,Gray,8,No,No faults,Minivan,Yes,
600,Mercedes-Benz,GLE-Class,2021,Black,90000000.0,Lagos,,,,,,Black,,No,"Original parts, Unpainted",,,
601,Hyundai,Sonata,2015,Black,15500000.0,Kwara,Limited w/Brown Leather 4dr Sedan (2.4L 4cyl 6A),Front Wheel,2400cc,4,185hp,Brown,,No,No faults,Sedan,Yes,
602,Lexus,RX,2018,Gold,59000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,,"No faults, Original parts",SUV,,
603,Toyota,Highlander,2012,Black,18500000.0,Lagos,Limited,Front Wheel,3500cc,6,274hp,Other,5,No,"Unpainted, No faults",SUV,No,
604,Lexus,RX,2017,White,49500000.0,Lagos,350 FWD,Front Wheel,3500cc,6,295hp,Beige,5,,No faults,SUV,,
605,Lexus,RX,2013,Gray,27000000.0,Lagos,,,,,,,,No,No faults,,,
606,Lexus,ES,2011,Black,13500000.0,Lagos,350,,,6,,Other,,No,No faults,,No,
607,Lexus,GX,2012,Gray,40500000.0,Lagos,460 Premium,All Wheel,4600cc,8,305hp,Other,7,,No faults,SUV,,
608,Mercedes-Benz,GLC-Class,2017,White,26500000.0,Lagos,"GLC300 Base Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Beige,,No,No faults,,Yes,
609,Hyundai,Sonata,2011,Gray,11800000.0,Lagos,Limited 2.0T Sedan (2.0L 4cyl 6A),,2000cc,4,,Gray,,,No faults,Sedan,,
610,Mercedes-Benz,GLK-Class,2015,Matt Black,26000000.0,Lagos,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),All Wheel,3500cc,6,302hp,Black,5,No,,SUV,,
611,Mercedes-Benz,GLE-Class,2016,Gray,38500000.0,Lagos,GLE 350d 4MATIC,All Wheel,3000cc,6,254hp,Other,5,,"Original parts, Unpainted, No faults",SUV,,
612,Lexus,RX,2015,Black,26500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Brown,5,No,"No faults, Unpainted, Original parts",SUV,,
613,Lexus,RX 350,2010,Black,19300000.0,Lagos,,,,,,Other,,No,"No faults, Unpainted",,No,
614,Mercedes-Benz,GLK-Class,2014,White,19000000.0,Lagos,,,,,,,,No,"No faults, Unpainted, Original parts",,,
615,Kia,Rio,2013,White,8500000.0,Kano,SX 4dr Hatchback (1.6L 4cyl 6A),,,4,,,,,,Hatchback,,
616,Mercedes-Benz,GLE-Class,2017,Black,79500000.0,Lagos,AMG GLE 43 4MATIC,All Wheel,3000cc,6,362hp,Beige,5,No,No faults,SUV,,
617,Mercedes-Benz,CLA-Class,2014,Black,27000000.0,Lagos,CLA 250 Sedan,Front Wheel,2000cc,4,208hp,Black,5,No,No faults,Sedan,Yes,
618,Mercedes-Benz,GLK-Class,2012,White,18000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Beige,5,No,No faults,SUV,,
619,Lexus,GX,2015,Black,40000000.0,Lagos,,,,,,Black,,No,"No faults, Unpainted, Original parts",,,
620,Mercedes-Benz,GLC-Class,2016,White,39500000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Other,,,"Original parts, No faults",,,
621,Toyota,Tacoma,2013,Silver,19850000.0,Lagos,,,,,,Beige,,No,Unpainted,,,
622,Lexus,RX,2015,White,29500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Other,5,No,No faults,SUV,,
623,Toyota,Camry,2013,Gray,16000000.0,Abuja,SE 4dr Sedan (2.5L 4cyl 6A),Front,2500cc,4,178hp,,5,No,,Sedan,,
624,Mercedes-Benz,GLK-Class,2014,Black,19200000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,302hp,,5,,,SUV,,
625,Ford,Taurus,2011,Black,6450000.0,Oyo,Limited,Front Wheel,3500cc,6,267hp,Black,5,Yes,"Original parts, No faults",Sedan,No,
626,Mercedes-Benz,GLK-Class,2012,Red,17000000.0,Lagos,350 4MATIC,All Wheel,3500cc,6,268hp,Beige,5,No,"Original parts, Unpainted, No faults",SUV,,
627,Lexus,GX,2007,Black,13500000.0,Lagos,470,All Wheel,4700cc,8,267hp,,7,No,"First owner, No faults, Original parts",SUV,,
628,Mercedes-Benz,GLC-Class,2017,Black,45500000.0,Lagos,"GLC300 4Matic Sport Utility 4-Door (2.0L, 4cyl Turbo)",,2000cc,4,,Black,,No,"No faults, Unpainted, Original parts",,,
629,Lexus,ES,2013,Black,24000000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,,5,,"No faults, Unpainted, Original parts",Sedan,No,
630,Toyota,Sienna,2006,Red,7500000.0,Abuja,,,,,,Other,,Yes,,,,
631,Mercedes-Benz,C300,2013,Black,17000000.0,Abuja,,,,,,Black,,No,,,,
632,Toyota,Camry,2009,Other,6500000.0,Enugu,,,,,,,,Yes,,,,
633,Lexus,ES,2014,White,19550000.0,Lagos,350 FWD,Front Wheel,3500cc,6,268hp,Black,5,No,"No faults, Unpainted, Original parts",Sedan,,
634,Toyota,Highlander,2018,Brown,38500000.0,Lagos,XLE 4x4 V6 (3.5L 6cyl 8A),All Wheel,3500cc,6,295hp,Black,7-8,No,No faults,SUV,,
635,Lexus,RX,2013,Black,25500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Other,5,No,No faults,SUV,,
636,Lexus,GX,2013,Red,32000000.0,Lagos,460 Base,,4600cc,8,301hp,Other,7,No,"No faults, Unpainted, Original parts",SUV,,
637,Lexus,RX,2017,Gray,41500000.0,Lagos,350 FWD,Front Wheel,3500cc,6,295hp,,5,No,No faults,SUV,,
638,Peugeot,206,2004,Blue,2800000.0,Abuja,,,,,,Other,,No,,,,
639,Lexus,LX,2006,Gray,13550000.0,Lagos,470 Sport Utility,All Wheel,4700cc,8,279hp,,8,,"No faults, Unpainted, Original parts",SUV,,
640,Toyota,Highlander,2009,Green,10890000.0,Lagos,4x4,All Wheel,3500cc,6,274hp,Purple,7,Yes,"First owner, First registration, No faults",SUV,Yes,
641,Mercedes-Benz,GLK-Class,2014,Red,24500000.0,Lagos,350,4x2,3500cc,6,302hp,,5,,"Unpainted, Original parts",SUV,,
642,Lexus,RX,2013,Black,29000000.0,Lagos,,,,,,Other,,,"No faults, Original parts",,,
643,Lexus,GX,2008,Black,21000000.0,Lagos,470,All Wheel,4700cc,8,267hp,Brown,7,No,No faults,SUV,,
644,Toyota,Tacoma,2015,Black,19500000.0,Lagos,V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 6M),All Wheel,4000cc,6,236hp,Other,,No,"No faults, Unpainted",Pickup,No,
645,Honda,Accord,2019,Gray,30500000.0,Abuja,,,,,,Other,,,No faults,,,
646,Toyota,Land Cruiser Prado,2017,White,63000000.0,Lagos,,,,,,Orange,,No,No faults,,,
647,Hyundai,Santa Fe,2015,Black,17000000.0,Lagos,,,,,,,,,,,,
648,Lexus,GX,2006,Silver,17500000.0,Lagos,470 Sport Utility,All Wheel,4700cc,8,267hp,,7,No,No faults,SUV,,
649,Lexus,GX,2014,Black,49800000.0,Lagos,460 Luxury,4x4,4600cc,8,301hp,Black,7,No,No faults,SUV,,
650,Toyota,Highlander,2018,White,38500000.0,Lagos,XLE 4x2 V6 (3.5L 6cyl 8A),Front Wheel,3500cc,6,295hp,Black,7-8,No,No faults,SUV,No,
651,Lexus,RX 350,2015,Burgundy,24500000.0,Lagos,,,,,,Beige,,No,"No faults, Unpainted",,No,
652,Lexus,RX,2014,Black,28500000.0,Lagos,350 AWD,All Wheel,3500cc,6,270hp,Gray,5,No,"No faults, Unpainted, Original parts",SUV,No,
653,Mercedes-Benz,GLK-Class,2013,White,24500000.0,Abuja,350 4MATIC,All Wheel,3500cc,6,302hp,Other,5,No,No faults,SUV,Yes,
654,Lexus,RX,2011,Blue,20500000.0,Lagos,350,,3500cc,6,279hp,Purple,5,No,No faults,SUV,,
655,Toyota,Camry,2008,Gold,5700000.0,Lagos,LE 4dr Sedan (2.4L 4cyl 5A),Front,2400cc,4,158hp,Other,5,Yes,No faults,Sedan,,
656,Lexus,RX,2018,Black,50000000.0,Lagos,350 AWD,All Wheel,3500cc,6,295hp,Other,5,No,"No faults, Unpainted, Original parts",SUV,,
657,Toyota,4-Runner,2021,White,59500000.0,Lagos,Limited,,,,,Brown,,No,"Original parts, Unpainted, No faults",,No,
